Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
14559,1021.8,0,-62.4
14580,1014,0,-109.2
14601,998.4,0,-93.6
14621,998.4,0,-101.4
14642,1029.6,0,-101.4
14662,982.8,15.6,-109.2
14683,1037.4,0,-124.8
14704,998.4,0,-124.8
14724,1021.8,15.6,-78
14745,1060.8,0,-93.6
14766,1014,23.4,-109.2
14786,998.4,78,0
14807,998.4,39,0
14827,1021.8,70.2,0
14848,998.4,117,0
14869,998.4,70.2,0
14889,998.4,62.4,0
14910,1021.8,62.4,23.4
14938,1006.2,62.4,0
14957,1014,39,0
14979,998.4,62.4,0
14998,1014,62.4,0
15020,998.4,23.4,-70.2
15040,998.4,31.2,7.8
15061,998.4,31.2,-39
15081,1006.2,54.6,0
15103,1029.6,31.2,-62.4
15123,998.4,0,-70.2
15144,1021.8,7.8,0
15164,998.4,23.4,0
15185,998.4,31.2,-70.2
15205,990.6,7.8,-117
15227,998.4,7.8,-62.4
15246,998.4,23.4,-85.8
15268,1045.2,0,-62.4
15288,998.4,46.8,-46.8
15309,1021.8,15.6,-54.6
15329,998.4,7.8,-62.4
15357,1014,31.2,0
15378,1006.2,54.6,-54.6
15399,1029.6,46.8,0
15419,1029.6,46.8,-46.8
15440,1014,15.6,0
15461,998.4,39,0
15481,1045.2,31.2,0
15502,998.4,54.6,0
15522,1006.2,31.2,0
15543,1006.2,39,0
15563,998.4,46.8,0
15592,1021.8,31.2,0
15612,998.4,23.4,-62.4
15633,1021.8,15.6,0
15654,990.6,0,-46.8
15674,1006.2,23.4,-101.4
15695,982.8,0,-46.8
15715,1037.4,31.2,-70.2
15736,998.4,23.4,-78
15764,1029.6,31.2,0
15783,998.4,0,-62.4
15805,1006.2,31.2,-70.2
15824,1006.2,46.8,0
15846,1021.8,15.6,0
15865,998.4,31.2,0
15887,998.4,54.6,-62.4
15906,998.4,78,0
15927,1021.8,23.4,23.4
15947,1014,46.8,0
15968,1014,7.8,0
15988,998.4,39,0
16010,998.4,39,-85.8
16030,1014,54.6,-85.8
16050,998.4,46.8,-46.8
16069,998.4,46.8,-54.6
16091,1053,0,0
16110,998.4,15.6,-85.8
16132,998.4,31.2,-62.4
16162,998.4,23.4,-78
16185,998.4,7.8,-62.4
16205,1029.6,0,0
16226,1014,31.2,-62.4
16246,998.4,15.6,0
16267,998.4,31.2,-70.2
16287,998.4,31.2,-54.6
16309,1021.8,31.2,-46.8
16329,982.8,15.6,-62.4
16350,1029.6,15.6,0
16370,998.4,23.4,-70.2
16392,1045.2,31.2,0
16411,1014,23.4,-46.8
16433,1037.4,15.6,0
16453,1006.2,23.4,-70.2
16475,998.4,54.6,0
16494,982.8,39,-62.4
16516,998.4,46.8,0
16535,998.4,7.8,-78
16557,1037.4,62.4,-70.2
16584,1021.8,31.2,-62.4
16605,998.4,39,-78
16625,998.4,7.8,-62.4
16646,1021.8,54.6,-70.2
16667,1021.8,7.8,0
16687,1006.2,31.2,-62.4
16708,1006.2,39,-46.8
16729,1014,15.6,0
16749,1021.8,15.6,0
16770,1006.2,0,-62.4
16790,1006.2,46.8,0
16811,1006.2,23.4,-39
16832,998.4,23.4,-39
16852,998.4,23.4,-62.4
16873,1006.2,15.6,0
16893,998.4,15.6,-70.2
16914,998.4,39,0
16935,998.4,0,0
16955,998.4,39,-39
16982,1006.2,23.4,0
17003,1021.8,62.4,0
17023,1006.2,31.2,0
17045,1006.2,62.4,0
17064,1014,15.6,0
17086,990.6,46.8,-70.2
17106,998.4,31.2,0
17127,998.4,23.4,-62.4
17147,1021.8,46.8,0
17169,1014,7.8,0
17188,998.4,23.4,-85.8
17210,998.4,46.8,-54.6
17230,1014,54.6,-101.4
17252,998.4,39,0
17335,1045.2,15.6,0
17356,1006.2,23.4,0
17376,998.4,46.8,-54.6
17398,1021.8,15.6,0
17417,1045.2,0,-62.4
17445,1006.2,23.4,0
17466,1006.2,46.8,0
17486,998.4,23.4,-85.8
17507,990.6,15.6,0
17528,1014,46.8,-39
17548,1014,15.6,0
17569,1006.2,85.8,-78
17590,982.8,62.4,0
17610,1021.8,15.6,0
17631,1021.8,0,0
17651,1014,0,0
17672,1021.8,54.6,-39
17692,998.4,23.4,-39
17713,1014,15.6,0
17734,998.4,46.8,-54.6
17755,998.4,7.8,-62.4
17775,1014,31.2,0
17796,1021.8,15.6,-54.6
17817,998.4,31.2,0
17837,1006.2,62.4,0
17864,998.4,39,-70.2
17886,1006.2,31.2,0
17905,998.4,54.6,-54.6
17927,1014,31.2,0
17946,1029.6,15.6,0
17968,1014,7.8,-62.4
17988,1014,39,0
18009,998.4,7.8,-85.8
18029,1029.6,31.2,0
18050,998.4,23.4,-62.4
18070,1014,15.6,-93.6
18092,990.6,23.4,-70.2
18111,1029.6,15.6,0
18133,1021.8,62.4,0
18152,998.4,23.4,-62.4
18174,998.4,7.8,0
18194,1014,23.4,0
18215,998.4,23.4,-78
18235,1006.2,15.6,-78
18263,998.4,31.2,-39
18283,998.4,54.6,-39
18304,998.4,23.4,0
18325,998.4,54.6,0
18345,1021.8,31.2,0
18366,1053,0,0
18386,1021.8,15.6,0
18406,1006.2,23.4,0
18427,1014,23.4,0
18447,1021.8,31.2,0
18468,1014,39,-62.4
18488,1006.2,46.8,0
18509,1021.8,46.8,0
