Time (ms),X (mm^s-2),Y (mm^s-2),Z (mm^s-2)
13276,-382.20,2277.60,3868.80
13297,-1193.40,592.80,5265.00
13318,748.80,522.60,-1248.00
13339,-421.20,3993.60,1638.00
13359,-171.60,873.60,-1497.60
13380,577.20,-1294.80,639.60
13400,280.80,647.40,-1458.60
13421,-982.80,2823.60,3369.60
13442,156.00,1263.60,1778.40
13476,452.40,-873.60,-4703.40
13500,865.80,-1879.80,-3237.00
13522,-709.80,748.80,1599.00
13542,-54.60,787.80,1388.40
13564,-460.20,928.20,2207.40
13583,-1154.40,319.80,3393.00
13641,-1443.00,725.40,959.40
13661,452.40,3478.80,-2145.00
13682,-819.00,2059.20,3525.60
13702,733.20,-4742.40,-5452.20
13724,-413.40,-1536.60,2628.60
13744,756.60,951.60,-1466.40
13765,756.60,249.60,93.60
13785,-249.60,-764.40,-1965.60
13807,140.40,-101.40,850.20
13826,-819.00,1638.00,1747.20
13850,-1185.60,928.20,-1326.00
13875,-187.20,-819.00,873.60
13895,-319.80,-1045.20,1528.80
13916,390.00,553.80,1333.80
13937,-592.80,-187.20,70.20
13958,850.20,-522.60,54.60
13979,-452.40,2527.20,0.00
13999,-553.80,2410.20,-241.80
14020,218.40,1248.00,553.80
14041,-312.00,2566.20,717.60
14062,202.80,709.80,-2480.40
14083,312.00,-390.00,249.60
14104,-748.80,3377.40,2246.40
14125,218.40,499.20,-1279.20
14145,1006.20,405.60,148.20
14166,616.20,2230.80,2340.00
14187,-78.00,-405.60,499.20
14208,-109.20,249.60,405.60
14235,-1146.60,1630.20,3494.40
14257,709.80,1926.60,-3088.80
14277,124.80,1482.00,-132.60
14298,-499.20,865.80,85.80
14318,-889.20,1123.20,1528.80
14340,920.40,-624.00,-1809.60
14360,444.60,70.20,-1903.20
14382,-647.40,-4836.00,3213.60
14402,-3330.60,2145.00,663.00
14424,-1661.40,2698.80,748.80
14444,-491.40,-1770.60,-3369.60
14465,-1162.20,1154.40,538.20
14485,-195.00,1318.20,499.20
14507,-577.20,1185.60,-522.60
14527,-631.80,1154.40,-312.00
14549,-670.80,1138.80,31.20
14569,-889.20,826.80,-85.80
14588,-787.80,1170.00,140.40
14607,-600.60,1045.20,0.00
14629,-140.40,998.40,187.20
14684,62.40,1193.40,7.80
14706,109.20,959.40,7.80
14726,54.60,1029.60,0.00
14747,7.80,998.40,109.20
14767,54.60,1045.20,7.80
14789,31.20,998.40,78.00
14808,31.20,1006.20,0.00
14830,54.60,998.40,54.60
14850,54.60,1006.20,7.80
14871,0.00,1006.20,15.60
14891,54.60,1029.60,46.80
14913,31.20,1029.60,39.00
14933,7.80,1037.40,39.00
14954,46.80,1006.20,70.20
14974,23.40,1029.60,85.80
14996,46.80,998.40,46.80
15023,0.00,1021.80,54.60
15044,46.80,1014.00,54.60
15065,7.80,1006.20,7.80
15085,7.80,1014.00,31.20
15106,15.60,998.40,46.80
15127,23.40,1006.20,62.40
15148,0.00,1021.80,23.40
15168,23.40,1053.00,15.60
15189,23.40,998.40,62.40
15210,54.60,998.40,46.80
15230,0.00,998.40,46.80
15251,0.00,1045.20,7.80
15271,15.60,1037.40,23.40
15292,54.60,998.40,70.20
15313,15.60,1021.80,15.60
15334,46.80,1014.00,23.40
15355,0.00,1006.20,7.80
15375,0.00,1014.00,39.00
15396,0.00,1045.20,54.60
15422,0.00,1045.20,39.00
15444,31.20,1014.00,31.20
15464,15.60,1006.20,46.80
15485,0.00,1014.00,7.80
15505,0.00,1037.40,7.80
15526,31.20,998.40,85.80
15546,0.00,1021.80,62.40
15568,0.00,1068.60,140.40
15587,163.80,1575.60,1996.80
15609,-54.60,514.80,179.40
15629,140.40,1092.00,85.80
15651,117.00,1466.40,0.00
15670,101.40,1060.80,-234.00
15727,-140.40,-702.00,826.80
15747,-226.20,694.20,1302.60
15769,179.40,1435.20,-561.60
15789,0.00,1326.00,0.00
15810,0.00,904.80,109.20
15829,0.00,897.00,23.40
15857,-46.80,1021.80,132.60
15878,-39.00,959.40,124.80
15898,0.00,998.40,85.80
15919,0.00,1029.60,31.20
15939,0.00,1014.00,46.80
15960,0.00,943.80,93.60
15980,0.00,1060.80,54.60
16001,0.00,1060.80,46.80
16021,15.60,998.40,23.40
16042,0.00,998.40,70.20
16062,0.00,998.40,15.60
16083,7.80,998.40,31.20
16103,15.60,998.40,0.00
16123,0.00,998.40,0.00
16143,23.40,1029.60,46.80
16164,7.80,1014.00,78.00
16185,7.80,1060.80,93.60
16218,7.80,1006.20,7.80
16239,23.40,998.40,62.40
16260,39.00,998.40,39.00
16286,23.40,1068.60,0.00
16308,15.60,998.40,31.20
16327,0.00,1021.80,7.80
16349,15.60,998.40,46.80
16368,31.20,998.40,23.40
16390,31.20,1014.00,15.60
16410,0.00,1006.20,46.80
16431,0.00,1021.80,23.40
16450,0.00,1045.20,23.40
16472,46.80,1014.00,54.60
16491,0.00,998.40,31.20
16513,15.60,998.40,78.00
16532,0.00,1014.00,39.00
16555,0.00,998.40,62.40
16608,23.40,998.40,46.80
16629,31.20,998.40,46.80
16648,0.00,1037.40,54.60
16670,0.00,1045.20,23.40
16689,0.00,1021.80,23.40
16711,23.40,1014.00,54.60
16728,0.00,1029.60,23.40
16749,0.00,943.80,7.80
16769,0.00,1014.00,39.00
16791,-124.80,998.40,0.00
16810,0.00,936.00,93.60
16832,0.00,943.80,-85.80
16851,-78.00,1123.20,31.20
16873,85.80,1115.40,210.60
16893,31.20,834.60,117.00
